X,Y,Temperature
0.04,0.045,327.176
0.04,0.05,326.469
0.04,0.055,325.813
0.04,0.06,325.207
0.04,0.065,324.65
0.04,0.07,324.14
0.04,0.075,323.677
0.04,0.08,323.259
0.04,0.085,322.886
0.04,0.09,322.558
0.04,0.095,322.273
0.04,0.1,322.032
0.035,-2.02E-34,335.955
0.035,0.005,334.736
0.035,0.01,333.578
0.035,0.015,332.481
0.035,0.02,331.444
0.035,0.025,330.465
0.035,0.03,329.544
0.035,0.035,328.678
0.035,0.04,327.868
0.035,0.045,327.111
0.035,0.05,326.406
0.035,0.055,325.751
0.035,0.06,325.147
0.035,0.065,324.59
0.035,0.07,324.082
0.035,0.075,323.62
0.035,0.08,323.203
0.035,0.085,322.831
0.035,0.09,322.504
0.035,0.095,322.219
0.035,0.1,321.978
0.03,-1.73E-34,335.85
0.03,0.005,334.631
0.03,0.01,333.474
0.03,0.015,332.378
0.03,0.02,331.343
0.03,0.025,330.366
0.03,0.03,329.447
0.03,0.035,328.583
0.03,0.04,327.775
0.03,0.045,327.02
0.03,0.05,326.317
0.03,0.055,325.665
0.03,0.06,325.062
0.03,0.065,324.507
0.03,0.07,324
0.03,0.075,323.54
0.03,0.08,323.124
0.03,0.085,322.754
0.03,0.09,322.427
0.03,0.095,322.144
0.03,0.1,321.904
0.025,-1.44E-34,335.714
0.025,0.005,334.496
0.025,0.01,333.34
0.025,0.015,332.246
0.025,0.02,331.212
0.025,0.025,330.238
0.025,0.03,329.321
0.025,0.035,328.461
0.025,0.04,327.656
0.025,0.045,326.903
0.025,0.05,326.203
0.025,0.055,325.553
0.025,0.06,324.953
0.025,0.065,324.401
0.025,0.07,323.896
0.025,0.075,323.437
0.025,0.08,323.023
0.025,0.085,322.654
0.025,0.09,322.329
0.025,0.095,322.047
0.025,0.1,321.808
0.02,-1.16E-34,335.546
0.02,0.005,334.328
0.02,0.01,333.174
0.02,0.015,332.082
0.02,0.02,331.052
0.02,0.025,330.081
0.02,0.03,329.168
0.02,0.035,328.311
0.02,0.04,327.509
0.02,0.045,326.76
0.02,0.05,326.064
0.02,0.055,325.417
0.02,0.06,324.82
0.02,0.065,324.27
0.02,0.07,323.768
0.02,0.075,323.311
0.02,0.08,322.9
0.02,0.085,322.533
0.02,0.09,322.21
0.02,0.095,321.929
0.02,0.1,321.691
0.015,-8.67E-35,335.345
0.015,0.005,334.128
0.015,0.01,332.976
0.015,0.015,331.888
0.015,0.02,330.861
0.015,0.025,329.894
0.015,0.03,328.986
0.015,0.035,328.134
0.015,0.04,327.336
0.015,0.045,326.592
0.015,0.05,325.899
0.015,0.055,325.256
0.015,0.06,324.662
0.015,0.065,324.116
0.015,0.07,323.617
0.015,0.075,323.163
0.015,0.08,322.755
0.015,0.085,322.39
0.015,0.09,322.069
0.015,0.095,321.79
0.015,0.1,321.553
0.01,-5.78E-35,335.109
0.01,0.005,333.893
0.01,0.01,332.744
0.01,0.015,331.66
0.01,0.02,330.639
0.01,0.025,329.678
0.01,0.03,328.775
0.01,0.035,327.928
0.01,0.04,327.136
0.01,0.045,326.397
0.01,0.05,325.709
0.01,0.055,325.071
0.01,0.06,324.481
0.01,0.065,323.939
0.01,0.07,323.443
0.01,0.075,322.993
0.01,0.08,322.587
0.01,0.085,322.225
0.01,0.09,321.906
0.01,0.095,321.63
0.01,0.1,321.395
0.005,-2.89E-35,334.835
0.005,0.005,333.621
0.005,0.01,332.478
0.005,0.015,331.4
0.005,0.02,330.386
0.005,0.025,329.432
0.005,0.03,328.536
0.005,0.035,327.696
0.005,0.04,326.91
0.005,0.045,326.176
0.005,0.05,325.494
0.005,0.055,324.861
0.005,0.06,324.276
0.005,0.065,323.738
0.005,0.07,323.247
0.005,0.075,322.8
0.005,0.08,322.398
0.005,0.085,322.039
0.005,0.09,321.723
0.005,0.095,321.448
0.005,0.1,321.215
-5.51E-19,0.005,333.309
0,0,334.291
-1.10E-18,0.01,332.175
-1.65E-18,0.015,331.106
-2.20E-18,0.02,330.101
-2.76E-18,0.025,329.155
-3.31E-18,0.03,328.267
-3.86E-18,0.035,327.435
-4.41E-18,0.04,326.656
-4.96E-18,0.045,325.93
-5.51E-18,0.05,325.254
-6.06E-18,0.055,324.627
-6.61E-18,0.06,324.047
-7.16E-18,0.065,323.515
-7.72E-18,0.07,323.028
-8.27E-18,0.075,322.585
-8.82E-18,0.08,322.187
-9.37E-18,0.085,321.831
-9.92E-18,0.09,321.518
-1.05E-17,0.095,321.246
-1.39E-17,0.1,321.121
