x,y,Z,Temperature
0.18,0.02,0,340.074
0.19,0.02,0,340.069
0.19,0.03,0,340.069
0.18,0.03,0,340.07
0.18,0.01,0,340.073
0.19,0.01,0,340.068
0.18,0.0,0,340.069
0.19,0.0,0,340.067
0.17,0.03,0,340.075
0.17,0.02,0,340.079
0.17,0.01,0,340.079
0.17,0.0,0,340.074
0.16,0.03,0,340.082
0.16,0.02,0,340.084
0.16,0.01,0,340.084
0.16,0.0,0,340.08
0.15,0.03,0,340.086
0.15,0.02,0,340.088
0.15,0.01,0,340.089
0.15,0.0,0,340.086
0.14,0.03,0,340.09
0.14,0.02,0,340.093
0.14,0.01,0,340.093
0.14,0.0,0,340.093
0.13,0.03,0,340.096
0.13,0.02,0,340.099
0.13,0.01,0,340.098
0.13,0.0,0,340.097
0.12,0.03,0,340.101
0.12,0.02,0,340.102
0.12,0.01,0,340.102
0.12,0.0,0,340.099
0.11,0.03,0,340.104
0.11,0.02,0,340.105
0.11,0.01,0,340.104
0.11,0.0,0,340.101
0.1,0.03,0,340.105
0.1,0.02,0,340.106
0.1,0.01,0,340.105
0.1,0.0,0,340.103
0.09,0.03,0,340.105
0.09,0.02,0,340.106
0.09,0.01,0,340.105
0.09,0.0,0,340.103
0.08,0.03,0,340.104
0.08,0.02,0,340.104
0.08,0.01,0,340.104
0.08,0.0,0,340.102
0.07,0.03,0,340.101
0.07,0.02,0,340.102
0.07,0.01,0,340.101
0.07,0.0,0,340.099
0.06,0.03,0,340.096
0.06,0.02,0,340.098
0.06,0.01,0,340.097
0.06,0.0,0,340.096
0.05,0.03,0,340.091
0.05,0.02,0,340.092
0.05,0.01,0,340.092
0.05,0.0,0,340.092
0.04,0.03,0,340.086
0.04,0.02,0,340.087
0.04,0.01,0,340.087
0.04,0.0,0,340.085
0.03,0.03,0,340.08
0.03,0.02,0,340.082
0.03,0.01,0,340.083
0.03,0.0,0,340.079
0.02,0.03,0,340.074
0.02,0.02,0,340.078
0.02,0.01,0,340.078
0.02,0.0,0,340.073
0.01,0.03,0,340.071
0.01,0.02,0,340.073
0.01,0.01,0,340.072
0.01,0.0,0,340.07
7.49e-16,0.03,0,340.068
5.06e-16,0.02,0,340.067
2.53e-16,0.01,0,340.067
0.0,0.0,0,340.067
0.046,0.06,0,340.013
0.046,0.05,0,340.021
0.049,0.05,0,340.021
0.049,0.06,0,340.015
0.049,0.04,0,340.038
0.046,0.04,0,340.04
0.046,0.03,0,340.089
0.049,0.03,0,340.091
0.141,0.06,0,340.018
0.141,0.05,0,340.025
0.144,0.05,0,340.025
0.144,0.06,0,340.018
0.144,0.04,0,340.042
0.141,0.04,0,340.043
0.141,0.03,0,340.09
0.144,0.03,0,340.088
0.0815724,-0.00988781,0,311.778
0.0827141,-0.0122852,0,306.176
0.0836843,-0.0102735,0,310.433
0.0903855,-0.0094367,0,310.538
0.0904721,-0.00811118,0,313.489
0.0917036,-0.00880353,0,311.633
0.0825985,-0.00063528,0,337.913
0.0834641,-0.00064386,0,337.786
0.083125,0.0,0,340.092
0.0924867,-0.00694835,0,317.686
0.0844444,0.0,0,340.093
0.114651,-0.00816003,0,313.754
0.114352,-0.00832583,0,313.272
0.11461,-0.00869952,0,312.757
0.11481,-0.00833105,0,313.252
0.114599,-0.00264509,0,330.962
0.107448,-0.000553482,0,338.185
0.114919,-0.00805728,0,314.131
0.11875,0.0,0,340.088
0.107955,0.0,0,340.095
0.106466,-0.000861275,0,337.338
0.106875,0.0,0,340.095
0.0820455,0.0,0,340.092
0.0753944,-0.00815997,0,313.535
0.0759678,-0.00291723,0,330.084
0.07125,0.0,0,340.089
0.0750807,-0.00805728,0,313.911
0.0754059,-0.00843593,0,312.84
0.0752152,-0.00833141,0,313.023
0.1425,0.0,0,340.075
0.131944,0.0,0,340.081
0.138742,-0.00265647,0,329.66
0.130931,-0.00859932,0,311.204
0.133517,-0.00743031,0,313.881
0.131006,-0.0017188,0,334.241
0.258875,0.21,0,300.0
0.257094,0.204308,0,300.0
0.261611,0.207728,0,300.0
0.263723,0.21,0,300.0
0.264999,0.198938,0,300.0
0.348286,0.19944,0,300.0
0.346554,0.200634,0,300.0
0.346767,0.199078,0,300.0
0.348664,0.19762,0,300.0
0.344152,0.194181,0,300.0
0.355001,0.202374,0,300.0
0.354335,0.202539,0,300.0
0.354917,0.201894,0,300.0
0.343246,0.191332,0,300.0
0.352231,0.193025,0,300.0
0.34206,0.191779,0,300.0
0.34424,0.208193,0,300.0
0.339642,0.202362,0,300.0
-0.0365524,-0.0460386,0,300.0
-0.0434614,-0.0567484,0,300.0
-0.0403254,-0.059441,0,300.0
-0.0521861,-0.0471147,0,300.0
-0.0541323,-0.0551408,0,300.0
-0.0490403,-0.0525716,0,300.0
-0.0477935,-0.058102,0,300.0
-0.0442174,-0.0640462,0,300.0
0.362235,-0.0104136,0,300.0
0.364252,-0.0156726,0,300.0
0.363838,-0.0102764,0,300.0
0.352863,-0.0162462,0,300.0
0.361186,-0.0198324,0,300.0
0.354169,-0.00255508,0,300.0
0.363287,-0.008944,0,300.0
0.355343,-0.000530789,0,300.0
0.352482,-0.00142187,0,300.0
0.350413,-0.0143724,0,300.0
0.351315,-0.018692,0,300.0
0.227547,0.192859,0,300.0
0.228747,0.200457,0,300.0
