X,Y,Temperature
0.095,0.005,333.795
0.095,-5.49E-34,335.009
0.1,-5.78E-34,334.464
0.1,0.005,333.481
0.1,0.01,332.345
0.095,0.01,332.65
0.1,0.015,331.275
0.095,0.015,331.57
0.1,0.02,330.267
0.095,0.02,330.553
0.1,0.025,329.318
0.095,0.025,329.596
0.1,0.03,328.427
0.095,0.03,328.697
0.1,0.035,327.591
0.095,0.035,327.853
0.1,0.04,326.809
0.095,0.04,327.064
0.1,0.045,326.079
0.095,0.045,326.327
0.1,0.05,325.4
0.095,0.05,325.641
0.095,0.055,325.005
0.1,0.055,324.769
0.1,0.06,324.187
0.095,0.06,324.417
0.1,0.065,323.652
0.095,0.065,323.876
0.1,0.07,323.162
0.095,0.07,323.382
0.1,0.075,322.717
0.095,0.075,322.933
0.1,0.08,322.316
0.095,0.08,322.528
0.1,0.085,321.959
0.095,0.085,322.167
0.1,0.09,321.643
0.095,0.09,321.849
0.1,0.095,321.37
0.095,0.095,321.573
0.1,0.1,321.244
0.095,0.1,321.339
0.09,0.005,334.068
0.09,-5.20E-34,335.284
0.09,0.01,332.918
0.09,0.015,331.832
0.09,0.02,330.808
0.09,0.025,329.844
0.09,0.03,328.938
0.09,0.035,328.088
0.09,0.04,327.292
0.09,0.045,326.549
0.09,0.05,325.857
0.09,0.055,325.216
0.09,0.06,324.623
0.09,0.065,324.078
0.09,0.07,323.58
0.09,0.075,323.127
0.09,0.08,322.719
0.09,0.085,322.355
0.09,0.09,322.034
0.09,0.095,321.756
0.09,0.1,321.52
0.085,0.005,334.304
0.085,-4.91E-34,335.522
0.085,0.01,333.151
0.085,0.015,332.06
0.085,0.02,331.031
0.085,0.025,330.061
0.085,0.03,329.15
0.085,0.035,328.294
0.085,0.04,327.493
0.085,0.045,326.745
0.085,0.05,326.048
0.085,0.055,325.402
0.085,0.06,324.805
0.085,0.065,324.257
0.085,0.07,323.754
0.085,0.075,323.298
0.085,0.08,322.887
0.085,0.085,322.521
0.085,0.09,322.197
0.085,0.095,321.917
0.085,0.1,321.679
0.08,0.005,334.506
0.08,-4.62E-34,335.724
0.08,0.01,333.35
0.08,0.015,332.256
0.08,0.02,331.223
0.08,0.025,330.249
0.08,0.03,329.333
0.08,0.035,328.472
0.08,0.04,327.667
0.08,0.045,326.915
0.08,0.05,326.214
0.08,0.055,325.564
0.08,0.06,324.964
0.08,0.065,324.411
0.08,0.07,323.906
0.08,0.075,323.447
0.08,0.08,323.034
0.08,0.085,322.664
0.08,0.09,322.339
0.08,0.095,322.057
0.08,0.1,321.818
0.075,0.005,334.674
0.075,-4.33E-34,335.893
0.075,0.01,333.517
0.075,0.015,332.42
0.075,0.02,331.384
0.075,0.025,330.407
0.075,0.03,329.487
0.075,0.035,328.623
0.075,0.04,327.814
0.075,0.045,327.058
0.075,0.05,326.354
0.075,0.055,325.701
0.075,0.06,325.098
0.075,0.065,324.542
0.075,0.07,324.035
0.075,0.075,323.573
0.075,0.08,323.158
0.075,0.085,322.786
0.075,0.09,322.46
0.075,0.095,322.176
0.075,0.1,321.935
0.07,-4.04E-34,336.03
0.07,0.005,334.81
0.07,0.01,333.652
0.07,0.015,332.554
0.07,0.02,331.516
0.07,0.025,330.536
0.07,0.03,329.613
0.07,0.035,328.746
0.07,0.04,327.934
0.07,0.045,327.176
0.07,0.05,326.469
0.07,0.055,325.813
0.07,0.06,325.207
0.07,0.065,324.65
0.07,0.07,324.14
0.07,0.075,323.677
0.07,0.08,323.259
0.07,0.085,322.886
0.07,0.09,322.558
0.07,0.095,322.273
0.07,0.1,322.032
0.065,-3.76E-34,336.135
0.065,0.005,334.916
0.065,0.01,333.756
0.065,0.015,332.657
0.065,0.02,331.617
0.065,0.025,330.635
0.065,0.03,329.711
0.065,0.035,328.842
0.065,0.04,328.028
0.065,0.045,327.267
0.065,0.05,326.558
0.065,0.055,325.901
0.065,0.06,325.293
0.065,0.065,324.733
0.065,0.07,324.222
0.065,0.075,323.757
0.065,0.08,323.338
0.065,0.085,322.964
0.065,0.09,322.635
0.065,0.095,322.349
0.065,0.1,322.107
0.06,-3.47E-34,336.21
0.06,0.005,334.99
0.06,0.01,333.831
0.06,0.015,332.73
0.06,0.02,331.689
0.06,0.025,330.706
0.06,0.03,329.78
0.06,0.035,328.91
0.06,0.04,328.094
0.06,0.045,327.332
0.06,0.05,326.622
0.06,0.055,325.963
0.06,0.06,325.354
0.06,0.065,324.793
0.06,0.07,324.28
0.06,0.075,323.815
0.06,0.08,323.395
0.06,0.085,323.02
0.06,0.09,322.69
0.06,0.095,322.403
0.06,0.1,322.16
0.055,-3.18E-34,336.255
0.055,0.005,335.035
0.055,0.01,333.875
0.055,0.015,332.774
0.055,0.02,331.733
0.055,0.025,330.749
0.055,0.03,329.822
0.055,0.035,328.951
0.055,0.04,328.134
0.055,0.045,327.371
0.055,0.05,326.66
0.055,0.055,326
0.055,0.06,325.39
0.055,0.065,324.829
0.055,0.07,324.316
0.055,0.075,323.849
0.055,0.08,323.429
0.055,0.085,323.053
0.055,0.09,322.723
0.055,0.095,322.436
0.055,0.1,322.192
0.05,-2.89E-34,336.27
0.05,0.005,335.05
0.05,0.01,333.89
0.05,0.015,332.789
0.05,0.02,331.747
0.05,0.025,330.763
0.05,0.03,329.836
0.05,0.035,328.964
0.05,0.04,328.148
0.05,0.045,327.384
0.05,0.05,326.673
0.05,0.055,326.013
0.05,0.06,325.402
0.05,0.065,324.841
0.05,0.07,324.327
0.05,0.075,323.861
0.05,0.08,323.44
0.05,0.085,323.064
0.05,0.09,322.734
0.05,0.095,322.447
0.05,0.1,322.203
0.045,-2.60E-34,336.255
0.045,0.005,335.035
0.045,0.01,333.875
0.045,0.015,332.774
0.045,0.02,331.733
0.045,0.025,330.749
0.045,0.03,329.822
0.045,0.035,328.951
0.045,0.04,328.134
0.045,0.045,327.371
0.045,0.05,326.66
0.045,0.055,326
0.045,0.06,325.39
0.045,0.065,324.829
0.045,0.07,324.316
0.045,0.075,323.849
0.045,0.08,323.429
0.045,0.085,323.053
0.045,0.09,322.723
0.045,0.095,322.436
0.045,0.1,322.192
0.04,-2.31E-34,336.21
0.04,0.005,334.99
0.04,0.01,333.831
0.04,0.015,332.73
0.04,0.02,331.689
0.04,0.025,330.706
0.04,0.03,329.78
0.04,0.035,328.91
0.04,0.04,328.094
0.04,0.045,327.332
0.04,0.05,326.622
0.04,0.055,325.963
0.04,0.06,325.354
0.04,0.065,324.793
0.04,0.07,324.28
0.04,0.075,323.815
0.04,0.08,323.395
0.04,0.085,323.02
0.04,0.09,322.69
0.04,0.095,322.403
0.04,0.1,322.16
0.035,-2.02E-34,336.135
0.035,0.005,334.916
0.035,0.01,333.756
0.035,0.015,332.657
0.035,0.02,331.617
0.035,0.025,330.635
0.035,0.03,329.711
0.035,0.035,328.842
0.035,0.04,328.028
0.035,0.045,327.267
0.035,0.05,326.558
0.035,0.055,325.901
0.035,0.06,325.293
0.035,0.065,324.733
0.035,0.07,324.222
0.035,0.075,323.757
0.035,0.08,323.338
0.035,0.085,322.964
0.035,0.09,322.635
0.035,0.095,322.349
0.035,0.1,322.107
0.03,-1.73E-34,336.03
0.03,0.005,334.81
0.03,0.01,333.652
0.03,0.015,332.554
0.03,0.02,331.516
0.03,0.025,330.536
0.03,0.03,329.613
0.03,0.035,328.746
0.03,0.04,327.934
0.03,0.045,327.176
0.03,0.05,326.469
0.03,0.055,325.813
0.03,0.06,325.207
0.03,0.065,324.65
0.03,0.07,324.14
0.03,0.075,323.677
0.03,0.08,323.259
0.03,0.085,322.886
0.03,0.09,322.558
0.03,0.095,322.273
0.03,0.1,322.032
0.025,-1.44E-34,335.893
0.025,0.005,334.674
0.025,0.01,333.517
0.025,0.015,332.42
0.025,0.02,331.384
0.025,0.025,330.407
0.025,0.03,329.487
0.025,0.035,328.623
0.025,0.04,327.814
0.025,0.045,327.058
0.025,0.05,326.354
0.025,0.055,325.701
0.025,0.06,325.098
0.025,0.065,324.542
0.025,0.07,324.035
0.025,0.075,323.573
0.025,0.08,323.158
0.025,0.085,322.786
0.025,0.09,322.46
0.025,0.095,322.176
0.025,0.1,321.935
0.02,-1.16E-34,335.724
0.02,0.005,334.506
0.02,0.01,333.35
0.02,0.015,332.256
0.02,0.02,331.223
0.02,0.025,330.249
0.02,0.03,329.333
0.02,0.035,328.472
0.02,0.04,327.667
0.02,0.045,326.915
0.02,0.05,326.214
0.02,0.055,325.564
0.02,0.06,324.964
0.02,0.065,324.411
0.02,0.07,323.906
0.02,0.075,323.447
0.02,0.08,323.034
0.02,0.085,322.665
0.02,0.09,322.339
0.02,0.095,322.057
0.02,0.1,321.818
0.015,-8.67E-35,335.522
0.015,0.005,334.304
0.015,0.01,333.151
0.015,0.015,332.06
0.015,0.02,331.031
0.015,0.025,330.061
0.015,0.03,329.15
0.015,0.035,328.294
0.015,0.04,327.493
0.015,0.045,326.745
0.015,0.05,326.048
0.015,0.055,325.402
0.015,0.06,324.806
0.015,0.065,324.257
0.015,0.07,323.754
0.015,0.075,323.298
0.015,0.08,322.887
0.015,0.085,322.521
0.015,0.09,322.197
0.015,0.095,321.917
0.015,0.1,321.679
0.01,-5.78E-35,335.284
0.01,0.005,334.068
0.01,0.01,332.918
0.01,0.015,331.832
0.01,0.02,330.808
0.01,0.025,329.844
0.01,0.03,328.938
0.01,0.035,328.088
0.01,0.04,327.292
0.01,0.045,326.549
0.01,0.05,325.857
0.01,0.055,325.216
0.01,0.06,324.623
0.01,0.065,324.078
0.01,0.07,323.58
0.01,0.075,323.127
0.01,0.08,322.719
0.01,0.085,322.355
0.01,0.09,322.034
0.01,0.095,321.756
0.01,0.1,321.52
0.005,-2.89E-35,335.009
0.005,0.005,333.795
0.005,0.01,332.65
0.005,0.015,331.57
0.005,0.02,330.553
0.005,0.025,329.596
0.005,0.03,328.697
0.005,0.035,327.853
0.005,0.04,327.064
0.005,0.045,326.327
0.005,0.05,325.641
0.005,0.055,325.005
0.005,0.06,324.417
0.005,0.065,323.876
0.005,0.07,323.382
0.005,0.075,322.933
0.005,0.08,322.528
0.005,0.085,322.167
0.005,0.09,321.849
0.005,0.095,321.573
0.005,0.1,321.339
-5.51E-19,0.005,333.481
0,0,334.464
-1.10E-18,0.01,332.345
-1.65E-18,0.015,331.275
-2.20E-18,0.02,330.267
-2.76E-18,0.025,329.318
-3.31E-18,0.03,328.427
-3.86E-18,0.035,327.591
-4.41E-18,0.04,326.809
-4.96E-18,0.045,326.079
-5.51E-18,0.05,325.4
-6.06E-18,0.055,324.769
-6.61E-18,0.06,324.187
-7.16E-18,0.065,323.652
-7.72E-18,0.07,323.162
-8.27E-18,0.075,322.717
-8.82E-18,0.08,322.316
-9.37E-18,0.085,321.959
-9.92E-18,0.09,321.643
-1.05E-17,0.095,321.37
-1.39E-17,0.1,321.244
