0.239,0.09,349.968
0.239,0.091,349.96
0.239,0.092,349.949
0.239,0.093,349.939
0.239,0.094,349.928
0.239,0.095,349.917
0.239,0.096,349.907
0.239,0.097,349.897
0.239,0.098,349.887
0.239,0.099,349.877
0.239,0.1,349.867
0.239,0.101,349.858
0.239,0.102,349.849
0.239,0.103,349.841
0.239,0.104,349.833
0.239,0.105,349.825
0.239,0.106,349.818
0.239,0.107,349.811
0.239,0.108,349.804
0.239,0.109,349.798
0.239,0.11,349.792
0.239,0.111,349.787
0.239,0.112,349.782
0.239,0.113,349.778
0.239,0.114,349.774
0.239,0.115,349.77
0.239,0.116,349.767
0.239,0.117,349.764
0.239,0.118,349.762
0.239,0.119,349.761
0.239,0.12,349.76
