X,Y,Z,Temperature
0.202521,-0.0398219,175,300
0.195574,-0.0293178,175,300
0.193012,-0.0356629,175,300
0.184335,-0.0395553,175,300
0.181017,-0.0398802,175,300
0.18227,-0.041267,175,300
0.182916,-0.0375838,175,300.001
0.193808,-0.0433185,175,300
0.1913,-0.031849,175,300.001
0.188024,-0.0438042,175,300
0.207702,0.0485537,175,300.067
0.206851,0.0464896,175,300.111
0.210697,0.0480943,175,300.053
0.205304,0.049604,175,300.083
0.209065,0.0538767,175,300.049
0.362872,0.0897016,175,300
0.357115,0.0889896,175,300
0.360829,0.0805458,175,300
0.362865,0.0795024,175,300
0.369759,0.0854441,175,300
0.365735,0.0798878,175,300
0.362882,0.0779761,175,300
0.366491,0.0946332,175,300
0.0778404,0.186798,175,311.874
0.0759522,0.186128,175,310.612
0.0789322,0.185142,175,312.467
0.076787,0.184299,175,311.029
0.0741214,0.194631,175,309.708
0.0740827,0.194596,175,309.681
0.0740819,0.194637,175,309.683
0.067728,0.190388,175,304.972
0.0634898,0.180857,175,302.595
0.0668891,0.192936,175,304.531
0.0625767,0.181539,175,302.259
0.0623967,0.192382,175,302.885
0.0628495,0.18056,175,302.309
0.0636261,0.180302,175,302.649
-0.163419,0.0621859,175,300
-0.164259,0.0616367,175,300
-0.167006,0.0504038,175,300
-0.165423,0.0619682,175,300
-0.166795,0.0496032,175,300
-0.164267,0.0628898,175,300
0.175945,0.081478,175,300.113
0.168515,0.0751689,175,300.607
0.173117,0.0699721,175,300.62
0.181697,0.0722314,175,300.134
0.164327,0.0694711,175,301.447
0.166401,0.0666749,175,301.49
0.180089,0.0626668,175,300.607
0.177409,0.0616755,175,300.771
0.179393,0.0602856,175,300.731
0.177727,0.0602437,175,301.018
0.169078,0.0564448,175,303.639
0.168721,0.0547573,175,304.083
0.163561,0.0666236,175,302.079
0.162334,0.0637192,175,303.292
0.330065,-0.0590965,175,300
0.320835,-0.0547867,175,300
0.318081,-0.057197,175,300
0.329542,-0.060429,175,300
0.316713,-0.0505908,175,300
0.320695,-0.0486011,175,300
0.327066,-0.0508283,175,300
0.326514,-0.0639685,175,300
0.319526,-0.0646544,175,300
0.321316,-0.0687157,175,300
0.310078,-0.0512256,175,300
0.312744,-0.0562871,175,300
0.314058,-0.0607868,175,300
0.319584,-0.0678896,175,300
0.308047,-0.0613044,175,300
0.310739,-0.0638761,175,300
-0.173507,0.12172,175,300
-0.17362,0.118613,175,300
-0.163557,0.115661,175,300
-0.165795,0.127363,175,300
-0.173977,0.125296,175,300
-0.176327,0.121722,175,300
-0.168736,0.143899,175,300
-0.171023,0.1458,175,300
-0.170766,0.142055,175,300
-0.169474,0.141562,175,300
-0.171209,0.139364,175,300
-0.172985,0.143251,175,300
0.3283,-0.0801193,175,300
0.331982,-0.082099,175,300
0.332029,-0.0744279,175,300
0.320687,-0.0718782,175,300
0.31788,-0.0781223,175,300
0.322995,-0.0790578,175,300
0.319718,-0.0811556,175,300
0.322833,-0.0854113,175,300
0.32717,-0.0855993,175,300
0.330683,-0.073884,175,300
0.0146506,0.193869,175,300
0.0245203,0.197845,175,300.001
0.0171294,0.201529,175,300
0.0228077,0.193227,175,300.001
0.0245258,0.198086,175,300.001
0.0170191,0.201784,175,300
0.0247375,0.198091,175,300.001
0.0314691,0.193867,175,300.003
0.0323611,0.194752,175,300.003
0.0301365,0.201493,175,300.002
0.0259736,0.207434,175,300.001
0.368935,0.0521878,175,300
0.365834,0.0514377,175,300
0.367313,0.0497815,175,300
0.36822,0.0484202,175,300
0.372534,0.0561314,175,300
0.369863,0.0594519,175,300
0.363985,0.0597749,175,300
0.366302,0.0488101,175,300
0.3624,0.0554875,175,300
0.35455,0.0510903,175,300
0.353077,0.0488178,175,300
0.371829,0.0434999,175,300
0.37643,0.0459775,175,300
0.362687,0.0399805,175,300
0.365227,0.0409274,175,300
0.212324,0.207005,175,300
0.214514,0.21,175,300
0.213037,0.21,175,300
0.212317,0.21,175,300
0.212993,0.202808,175,300
0.219613,0.207658,175,300
0.219335,0.203359,175,300
0.220521,0.197126,175,300
0.212022,0.201716,175,300
