X,Y,Z,Temperature
0.18,0.02,275,339.935
0.19,0.02,275,339.929
0.19,0.03,275,339.929
0.18,0.03,275,339.933
0.18,0.01,275,339.935
0.19,0.01,275,339.932
0.18,0,275,339.929
0.19,0,275,339.931
0.17,0.03,275,339.938
0.17,0.02,275,339.94
0.17,0.01,275,339.941
0.17,0,275,339.936
0.16,0.03,275,339.943
0.16,0.02,275,339.945
0.16,0.01,275,339.945
0.16,0,275,339.944
0.15,0.03,275,339.948
0.15,0.02,275,339.949
0.15,0.01,275,339.95
0.15,0,275,339.95
0.14,0.03,275,339.952
0.14,0.02,275,339.954
0.14,0.01,275,339.954
0.14,0,275,339.955
0.13,0.03,275,339.957
0.13,0.02,275,339.959
0.13,0.01,275,339.958
0.13,0,275,339.959
0.12,0.03,275,339.96
0.12,0.02,275,339.962
0.12,0.01,275,339.962
0.12,0,275,339.963
0.11,0.03,275,339.96
0.11,0.02,275,339.964
0.11,0.01,275,339.964
0.11,0,275,339.964
0.1,0.03,275,339.962
0.1,0.02,275,339.965
0.1,0.01,275,339.964
0.1,0,275,339.965
0.09,0.03,275,339.962
0.09,0.02,275,339.965
0.09,0.01,275,339.964
0.09,0,275,339.964
0.08,0.03,275,339.959
0.08,0.02,275,339.964
0.08,0.01,275,339.963
0.08,0,275,339.963
0.07,0.03,275,339.956
0.07,0.02,275,339.961
0.07,0.01,275,339.96
0.07,0,275,339.962
0.06,0.03,275,339.955
0.06,0.02,275,339.957
0.06,0.01,275,339.957
0.06,0,275,339.957
0.05,0.03,275,339.952
0.05,0.02,275,339.952
0.05,0.01,275,339.952
0.05,0,275,339.952
0.04,0.03,275,339.947
0.04,0.02,275,339.947
0.04,0.01,275,339.948
0.04,0,275,339.949
0.03,0.03,275,339.94
0.03,0.02,275,339.943
0.03,0.01,275,339.943
0.03,0,275,339.943
0.02,0.03,275,339.934
0.02,0.02,275,339.938
0.02,0.01,275,339.938
0.02,0,275,339.934
0.01,0.03,275,339.933
0.01,0.02,275,339.933
0.01,0.01,275,339.933
0.01,0,275,339.926
7.49E-16,0.03,275,339.93
5.06E-16,0.02,275,339.929
2.53E-16,0.01,275,339.928
0,0,275,339.925
0.046,0.06,275,339.878
0.046,0.05,275,339.887
0.049,0.05,275,339.884
0.049,0.06,275,339.878
0.049,0.04,275,339.901
0.046,0.04,275,339.904
0.046,0.03,275,339.95
0.049,0.03,275,339.951
0.141,0.06,275,339.881
0.141,0.05,275,339.891
0.144,0.05,275,339.886
0.144,0.06,275,339.88
0.144,0.04,275,339.905
0.141,0.04,275,339.906
0.141,0.03,275,339.951
0.144,0.03,275,339.95
0.38,0.165784,275,300
0.379958,0.165787,275,300
0.379981,0.165761,275,300
0.38,0.165713,275,300
-0.177285,-0.01822,275,300
-0.184154,-0.0186576,275,300
-0.183333,-0.0263263,275,300
-0.177423,-0.0163641,275,300
-0.184181,-0.0164417,275,300
-0.182102,-0.00843651,275,300
-0.182234,-0.00825688,275,300
