X,Y,Temperature
0.095,0.005,321.24
0.095,-5.49E-34,321.01
0.1,-5.78E-34,320.916
0.1,0.005,321.04
0.1,0.01,321.309
0.095,0.01,321.512
0.1,0.015,321.62
0.095,0.015,321.825
0.1,0.02,321.972
0.095,0.02,322.181
0.1,0.025,322.367
0.095,0.025,322.579
0.1,0.03,322.805
0.095,0.03,323.022
0.1,0.035,323.287
0.095,0.035,323.509
0.1,0.04,323.815
0.095,0.04,324.041
0.1,0.045,324.389
0.095,0.045,324.621
0.1,0.05,325.01
0.095,0.05,325.248
0.095,0.055,325.925
0.1,0.055,325.681
0.1,0.06,326.401
0.095,0.06,326.652
0.1,0.065,327.174
0.095,0.065,327.432
0.1,0.07,328
0.095,0.07,328.266
0.1,0.075,328.882
0.095,0.075,329.156
0.1,0.08,329.822
0.095,0.08,330.104
0.1,0.085,330.822
0.095,0.085,331.113
0.1,0.09,331.886
0.095,0.09,332.187
0.1,0.095,333.019
0.095,0.095,333.328
0.1,0.1,333.999
0.095,0.1,334.541
0.09,0.005,321.42
0.09,-5.20E-34,321.187
0.09,0.01,321.694
0.09,0.015,322.01
0.09,0.02,322.368
0.09,0.025,322.77
0.09,0.03,323.216
0.09,0.035,323.707
0.09,0.04,324.245
0.09,0.045,324.829
0.09,0.05,325.461
0.09,0.055,326.143
0.09,0.06,326.877
0.09,0.065,327.663
0.09,0.07,328.503
0.09,0.075,329.4
0.09,0.08,330.355
0.09,0.085,331.371
0.09,0.09,332.451
0.09,0.095,333.597
0.09,0.1,334.812
0.085,0.005,321.579
0.085,-4.91E-34,321.344
0.085,0.01,321.855
0.085,0.015,322.173
0.085,0.02,322.534
0.085,0.025,322.939
0.085,0.03,323.388
0.085,0.035,323.883
0.085,0.04,324.424
0.085,0.045,325.012
0.085,0.05,325.649
0.085,0.055,326.336
0.085,0.06,327.075
0.085,0.065,327.866
0.085,0.07,328.712
0.085,0.075,329.614
0.085,0.08,330.575
0.085,0.085,331.596
0.085,0.09,332.68
0.085,0.095,333.83
0.085,0.1,335.046
0.08,0.005,321.717
0.08,-4.62E-34,321.481
0.08,0.01,321.994
0.08,0.015,322.315
0.08,0.02,322.678
0.08,0.025,323.086
0.08,0.03,323.538
0.08,0.035,324.035
0.08,0.04,324.58
0.08,0.045,325.172
0.08,0.05,325.813
0.08,0.055,326.503
0.08,0.06,327.246
0.08,0.065,328.042
0.08,0.07,328.892
0.08,0.075,329.799
0.08,0.08,330.764
0.08,0.085,331.789
0.08,0.09,332.877
0.08,0.095,334.028
0.08,0.1,335.245
0.075,0.005,321.833
0.075,-4.33E-34,321.596
0.075,0.01,322.113
0.075,0.015,322.435
0.075,0.02,322.8
0.075,0.025,323.21
0.075,0.03,323.664
0.075,0.035,324.164
0.075,0.04,324.712
0.075,0.045,325.307
0.075,0.05,325.951
0.075,0.055,326.645
0.075,0.06,327.391
0.075,0.065,328.19
