X,Y,Z,Temperature
0.18,0.02,475,339.732
0.19,0.02,475,339.728
0.19,0.03,475,339.728
0.18,0.03,475,339.73
0.18,0.01,475,339.731
0.19,0.01,475,339.727
0.18,0,475,339.728
0.19,0,475,339.726
0.17,0.03,475,339.734
0.17,0.02,475,339.735
0.17,0.01,475,339.734
0.17,0,475,339.732
0.16,0.03,475,339.736
0.16,0.02,475,339.737
0.16,0.01,475,339.737
0.16,0,475,339.736
0.15,0.03,475,339.736
0.15,0.02,475,339.739
0.15,0.01,475,339.741
0.15,0,475,339.741
0.14,0.03,475,339.737
0.14,0.02,475,339.742
0.14,0.01,475,339.745
0.14,0,475,339.745
0.13,0.03,475,339.747
0.13,0.02,475,339.75
0.13,0.01,475,339.75
0.13,0,475,339.749
0.12,0.03,475,339.754
0.12,0.02,475,339.756
0.12,0.01,475,339.754
0.12,0,475,339.753
0.11,0.03,475,339.756
0.11,0.02,475,339.757
0.11,0.01,475,339.757
0.11,0,475,339.756
0.1,0.03,475,339.758
0.1,0.02,475,339.759
0.1,0.01,475,339.759
0.1,0,475,339.758
0.09,0.03,475,339.758
0.09,0.02,475,339.759
0.09,0.01,475,339.759
0.09,0,475,339.757
0.08,0.03,475,339.756
0.08,0.02,475,339.757
0.08,0.01,475,339.756
0.08,0,475,339.755
0.07,0.03,475,339.751
0.07,0.02,475,339.753
0.07,0.01,475,339.753
0.07,0,475,339.753
0.06,0.03,475,339.745
0.06,0.02,475,339.748
0.06,0.01,475,339.75
0.06,0,475,339.749
0.05,0.03,475,339.739
0.05,0.02,475,339.744
0.05,0.01,475,339.745
0.05,0,475,339.744
0.04,0.03,475,339.738
0.04,0.02,475,339.74
0.04,0.01,475,339.741
0.04,0,475,339.741
0.03,0.03,475,339.737
0.03,0.02,475,339.738
0.03,0.01,475,339.739
0.03,0,475,339.738
0.02,0.03,475,339.734
0.02,0.02,475,339.735
0.02,0.01,475,339.735
0.02,0,475,339.733
0.01,0.03,475,339.731
0.01,0.02,475,339.731
0.01,0.01,475,339.73
0.01,0,475,339.729
1.00E-15,0.03,475,339.728
5.00E-16,0.02,475,339.728
2.50E-16,0.01,475,339.727
0,0,475,339.727
0.049,0.05,475,339.547
0.049,0.06,475,339.53
0.046,0.06,475,339.529
0.046,0.05,475,339.546
0.049,0.04,475,339.59
0.046,0.04,475,339.59
0.046,0.03,475,339.739
0.049,0.03,475,339.739
0.144,0.05,475,339.548
0.144,0.06,475,339.531
0.141,0.06,475,339.53
0.141,0.05,475,339.547
0.144,0.04,475,339.591
0.141,0.04,475,339.591
0.141,0.03,475,339.737
0.144,0.03,475,339.737
0.036816,-0.0297176,475,300
0.0312466,-0.0280578,475,300
0.0326835,-0.0348691,475,300
0.0405956,-0.0328011,475,300
0.0418662,-0.0266022,475,300
0.0417344,-0.0216615,475,300.034
0.0371775,-0.0245609,475,300.034
0.0446193,-0.0304035,475,300
0.052044,-0.0250899,475,300.001
0.141,0.04,475,339.58
0.135573,0.0358717,475,312.374
0.135065,0.0420389,475,306.76
0.132893,0.0377796,475,307.768
0.141,0.03,475,339.681
0.130778,0.03,475,339.718
0.231729,-0.0799025,475,300
0.228113,-0.0818143,475,300
0.231833,-0.0822021,475,300
0.232644,-0.0814452,475,300
0.233197,-0.0826504,475,300
0.22722,-0.0871292,475,300
0.222487,-0.0844132,475,300
0.225235,-0.09,475,300
0.229468,-0.09,475,300
-0.0162489,-0.0809321,475,300
-0.0194062,-0.0843016,475,300
-0.0164766,-0.0875081,475,300
-0.0126535,-0.0878387,475,300
-0.0218954,-0.0807937,475,300
-0.0264005,-0.0865807,475,300
-0.0215831,-0.0867979,475,300
-0.0248192,-0.09,475,300
-0.115599,0.0509134,475,300
-0.129593,0.0571891,475,300
-0.131027,0.0556871,475,300
-0.125623,0.0466354,475,300
-0.118432,0.0597179,475,300
-0.130401,0.058799,475,300
-0.131819,0.0590652,475,300
-0.131953,0.0581238,475,300
-0.131724,0.0722808,475,300
-0.123608,0.0664192,475,300
-0.147443,0.0568706,475,300
-0.146272,0.05353,475,300
-0.135868,0.0568635,475,300
-0.144821,0.0517393,475,300
-0.129505,0.0442744,475,300
-0.138644,0.0691849,475,300
-0.132906,0.0590834,475,300
-0.148112,0.0686341,475,300
0.274493,0.118869,475,300
0.267282,0.109399,475,300
0.282138,0.115671,475,300
0.279883,0.106493,475,300
0.266323,0.10803,475,300
0.264087,0.0894039,475,300
0.275936,0.0968896,475,300
0.254864,0.100698,475,300
0.257628,0.0898713,475,300
0.265084,0.108072,475,300
0.269136,0.120571,475,300
0.265874,0.109156,475,300
0.254357,0.118802,475,300
0.264547,0.109997,475,300
0.262766,0.120241,475,300
0.254819,0.11378,475,300
0.28082,0.171244,475,300
0.272267,0.163572,475,300
0.276385,0.159396,475,300
0.281904,0.169658,475,300
0.282968,0.155347,475,300
0.275686,0.152883,475,300
