X,Y,Temperature
0.1,0.005,320.486
0.1,0,320.365
0.095,-5.49E-34,320.457
0.095,0.005,320.578
0.1,0.01,320.749
0.095,0.01,320.842
0.1,0.015,321.051
0.095,0.015,321.145
0.1,0.02,321.394
0.095,0.02,321.49
0.1,0.025,321.778
0.095,0.025,321.876
0.1,0.03,322.205
0.095,0.03,322.305
0.095,0.035,322.777
0.1,0.035,322.675
0.095,0.04,323.293
0.1,0.04,323.189
0.095,0.045,323.855
0.1,0.045,323.749
0.095,0.05,324.464
0.1,0.05,324.354
0.095,0.055,325.12
0.1,0.055,325.008
0.095,0.06,325.826
0.1,0.06,325.711
0.095,0.065,326.583
0.1,0.065,326.464
0.095,0.07,327.393
0.1,0.07,327.271
0.095,0.075,328.259
0.1,0.075,328.133
0.095,0.08,329.182
0.1,0.08,329.053
0.095,0.085,330.167
0.1,0.085,330.034
0.095,0.09,331.218
0.1,0.09,331.081
0.095,0.095,332.339
0.1,0.095,332.199
0.095,0.1,333.313
0.1,0.1,333.04
0.09,-5.20E-34,320.63
0.09,0.005,320.752
0.09,0.01,321.018
0.09,0.015,321.324
0.09,0.02,321.672
0.09,0.025,322.061
0.09,0.03,322.493
0.09,0.035,322.969
0.09,0.04,323.49
0.09,0.045,324.057
0.09,0.05,324.67
0.09,0.055,325.332
0.09,0.06,326.043
0.09,0.065,326.806
0.09,0.07,327.623
0.09,0.075,328.495
0.09,0.08,329.425
0.09,0.085,330.417
0.09,0.09,331.474
0.09,0.095,332.6
0.09,0.1,333.577
0.085,-4.91E-34,320.783
0.085,0.005,320.906
0.085,0.01,321.174
0.085,0.015,321.482
0.085,0.02,321.832
0.085,0.025,322.225
0.085,0.03,322.66
0.085,0.035,323.14
0.085,0.04,323.664
0.085,0.045,324.235
0.085,0.05,324.852
0.085,0.055,325.519
0.085,0.06,326.235
0.085,0.065,327.003
0.085,0.07,327.825
0.085,0.075,328.703
0.085,0.08,329.638
0.085,0.085,330.635
0.085,0.09,331.696
0.085,0.095,332.826
0.085,0.1,333.805
0.08,-4.62E-34,320.916
0.08,0.005,321.04
0.08,0.01,321.309
0.08,0.015,321.62
0.08,0.02,321.972
0.08,0.025,322.367
0.08,0.03,322.805
0.08,0.035,323.287
0.08,0.04,323.815
0.08,0.045,324.389
0.08,0.05,325.01
0.08,0.055,325.681
0.08,0.06,326.401
0.08,0.065,327.174
0.08,0.07,328
0.08,0.075,328.882
0.08,0.08,329.822
0.08,0.085,330.822
0.08,0.09,331.886
0.08,0.095,333.019
0.08,0.1,333.999
0.075,-4.33E-34,321.028
0.075,0.005,321.153
0.075,0.01,321.424
0.075,0.015,321.736
0.075,0.02,322.09
0.075,0.025,322.487
0.075,0.03,322.927
0.075,0.035,323.412
0.075,0.04,323.943
0.075,0.045,324.52
0.075,0.05,325.144
0.075,0.055,325.818
0.075,0.06,326.542
0.075,0.065,327.318
0.075,0.07,328.147
0.075,0.075,329.032
0.075,0.08,329.976
0.075,0.085,330.979
0.075,0.09,332.046
0.075,0.095,333.179
0.075,0.1,334.16
0.07,-4.04E-34,321.121
0.07,0.005,321.246
0.07,0.01,321.518
0.07,0.015,321.831
0.07,0.02,322.187
0.07,0.025,322.585
0.07,0.03,323.028
0.07,0.035,323.515
0.07,0.04,324.047
0.07,0.045,324.627
0.07,0.05,325.254
0.07,0.055,325.93
0.07,0.06,326.656
0.07,0.065,327.435
0.07,0.07,328.267
0.07,0.075,329.155
0.07,0.08,330.101
0.07,0.085,331.106
0.07,0.09,332.175
0.07,0.095,333.309
0.07,0.1,334.291
0.065,-3.76E-34,321.192
0.065,0.005,321.318
0.065,0.01,321.591
0.065,0.015,321.905
0.065,0.02,322.262
0.065,0.025,322.662
0.065,0.03,323.106
0.065,0.035,323.595
0.065,0.04,324.129
0.065,0.045,324.71
0.065,0.05,325.339
0.065,0.055,326.017
0.065,0.06,326.746
0.065,0.065,327.526
