X,Y,Temperature_3D,Temperature_2D,Temp_Difference
0.075,0.095,322.219,341.423,-19.204000000000008
0.075,0.1,321.978,341.402,-19.423999999999978
0.07,-4.04e-34,336.089,342.232,-6.143000000000029
0.07,0.005,334.87,342.171,-7.300999999999988
0.07,0.01,333.711,342.113,-8.401999999999987
0.07,0.015,332.612,342.056,-9.44399999999996
0.07,0.02,331.573,342.002,-10.42900000000003
0.07,0.025,330.592,341.949,-11.357000000000028
0.07,0.03,329.668,341.899,-12.230999999999995
0.07,0.035,328.8,341.851,-13.050999999999988
0.07,0.04,327.987,341.804,-13.81699999999995
0.07,0.045,327.227,341.76,-14.533000000000015
0.07,0.05,326.52,341.718,-15.198000000000036
0.07,0.055,325.863,341.678,-15.814999999999998
0.07,0.06,325.256,341.64,-16.384000000000015
0.07,0.065,324.697,341.604,-16.906999999999982
0.07,0.07,324.187,341.571,-17.384000000000015
0.07,0.075,323.722,341.539,-17.817000000000007
0.07,0.08,323.304,341.509,-18.20500000000004
0.07,0.085,322.931,341.482,-18.551000000000045
0.07,0.09,322.602,341.456,-18.854000000000042
0.07,0.095,322.316,341.432,-19.116000000000042
0.07,0.1,322.074,341.411,-19.33699999999999
0.065,-3.76e-34,336.195,342.239,-6.043999999999983
0.065,0.005,334.975,342.178,-7.2029999999999745
0.065,0.01,333.815,342.12,-8.305000000000007
0.065,0.015,332.715,342.063,-9.348000000000013
0.065,0.02,331.675,342.009,-10.334000000000003
0.065,0.025,330.692,341.956,-11.26400000000001
0.065,0.03,329.766,341.906,-12.139999999999986
0.065,0.035,328.896,341.858,-12.961999999999989
0.065,0.04,328.081,341.812,-13.730999999999995
0.065,0.045,327.319,341.767,-14.447999999999979
0.065,0.05,326.609,341.725,-15.116000000000042
0.065,0.055,325.95,341.685,-15.735000000000014
0.065,0.06,325.341,341.647,-16.305999999999983
0.065,0.065,324.781,341.612,-16.831000000000017
0.065,0.07,324.269,341.578,-17.30899999999997
0.065,0.075,323.803,341.546,-17.742999999999995
0.065,0.08,323.383,341.516,-18.133000000000038
0.065,0.085,323.009,341.489,-18.47999999999996
0.065,0.09,322.679,341.463,-18.78400000000005
0.065,0.095,322.392,341.44,-19.048000000000002
0.065,0.1,322.149,341.41799999999995,-19.26899999999995
0.06,-3.47e-34,336.27,342.244,-5.974000000000046
0.06,0.005,335.05,342.184,-7.1340000000000146
0.06,0.01,333.89,342.125,-8.235000000000014
0.06,0.015,332.789,342.068,-9.278999999999996
0.06,0.02,331.747,342.014,-10.266999999999996
0.06,0.025,330.763,341.962,-11.199000000000012
0.06,0.03,329.836,341.911,-12.074999999999989
0.06,0.035,328.964,341.863,-12.899000000000001
0.06,0.04,328.148,341.817,-13.668999999999983
0.06,0.045,327.384,341.773,-14.38900000000001
0.06,0.05,326.673,341.731,-15.057999999999993
0.06,0.055,326.013,341.691,-15.677999999999997
0.06,0.06,325.402,341.653,-16.251000000000033
0.06,0.065,324.841,341.617,-16.77600000000001
0.06,0.07,324.327,341.583,-17.25600000000003
0.06,0.075,323.861,341.551,-17.689999999999998
0.06,0.08,323.44,341.521,-18.081000000000017
0.06,0.085,323.064,341.494,-18.430000000000007
0.06,0.09,322.734,341.468,-18.734000000000037
0.06,0.095,322.447,341.445,-18.99799999999999
0.06,0.1,322.203,341.423,-19.220000000000027
0.055,-3.18e-34,336.315,342.247,-5.932000000000016
0.055,0.005,335.095,342.187,-7.0919999999999845
0.055,0.01,333.934,342.128,-8.19399999999996
0.055,0.015,332.833,342.072,-9.238999999999976
0.055,0.02,331.79,342.017,-10.226999999999975
0.055,0.025,330.806,341.965,-11.158999999999992
0.055,0.03,329.878,341.914,-12.036000000000001
0.055,0.035,329.005,341.866,-12.86099999999999
0.055,0.04,328.188,341.82,-13.632000000000005
0.055,0.045,327.423,341.776,-14.353000000000009
0.055,0.05,326.711,341.734,-15.022999999999968
0.055,0.055,326.05,341.694,-15.644000000000005
0.055,0.06,325.439,341.656,-16.216999999999985
0.055,0.065,324.877,341.62,-16.742999999999995
0.055,0.07,324.363,341.586,-17.223000000000013
0.055,0.075,323.895,341.554,-17.658999999999992
0.055,0.08,323.474,341.525,-18.050999999999988
0.055,0.085,323.098,341.497,-18.399
0.055,0.09,322.767,341.471,-18.704000000000008
0.055,0.095,322.479,341.448,-18.968999999999994
0.055,0.1,322.235,341.426,-19.190999999999974
0.05,-2.89e-34,336.33,342.249,-5.91900000000004
0.05,0.005,335.11,342.188,-7.0779999999999745
0.05,0.01,333.949,342.129,-8.180000000000007
0.05,0.015,332.848,342.073,-9.224999999999966
0.05,0.02,331.805,342.018,-10.212999999999965
0.05,0.025,330.82,341.966,-11.146000000000015
0.05,0.03,329.892,341.915,-12.023000000000025
0.05,0.035,329.019,341.867,-12.848000000000013
0.05,0.04,328.201,341.821,-13.620000000000005
0.05,0.045,327.436,341.777,-14.341000000000008
0.05,0.05,326.724,341.735,-15.011000000000024
0.05,0.055,326.063,341.695,-15.632000000000005
0.05,0.06,325.451,341.657,-16.20599999999996
0.05,0.065,324.889,341.621,-16.73199999999997
