X,Y,Temperature_3D,Temperature_2D,Temp_Difference
0.095,0.005,333.328,342.104,-8.77600000000001
0.095,-5.4899999999999995e-34,334.541,342.165,-7.624000000000024
0.1,-5.78e-34,333.999,342.135,-8.135999999999967
0.1,0.005,333.018,342.084,-9.066000000000031
0.1,0.01,331.886,342.026,-10.139999999999986
0.095,0.01,332.187,342.045,-9.858000000000004
0.1,0.015,330.822,341.969,-11.146999999999991
0.095,0.015,331.113,341.989,-10.875999999999976
0.1,0.02,329.822,341.915,-12.093000000000018
0.095,0.02,330.104,341.934,-11.830000000000041
0.1,0.025,328.882,341.862,-12.980000000000018
0.095,0.025,329.156,341.882,-12.725999999999999
0.1,0.03,328.0,341.81200000000007,-13.812000000000069
0.095,0.03,328.266,341.832,-13.565999999999974
0.1,0.035,327.174,341.76399999999995,-14.589999999999975
0.095,0.035,327.432,341.783,-14.350999999999999
0.1,0.04,326.401,341.718,-15.317000000000007
0.095,0.04,326.652,341.737,-15.085000000000036
0.1,0.045,325.681,341.674,-15.992999999999995
0.095,0.045,325.925,341.693,-15.767999999999972
0.1,0.05,325.01,341.632,-16.622000000000014
0.095,0.05,325.248,341.651,-16.40300000000002
0.095,0.055,324.621,341.611,-16.99000000000001
0.1,0.055,324.389,341.5919999999999,-17.202999999999918
0.1,0.06,323.815,341.5539999999999,-17.73899999999992
0.095,0.06,324.041,341.574,-17.533000000000015
0.1,0.065,323.287,341.518,-18.230999999999995
0.095,0.065,323.509,341.538,-18.028999999999996
0.1,0.07,322.805,341.484,-18.678999999999974
0.095,0.07,323.022,341.504,-18.482000000000028
0.1,0.075,322.367,341.453,-19.085999999999956
0.095,0.075,322.579,341.472,-18.892999999999972
0.1,0.08,321.972,341.423,-19.451000000000022
0.095,0.08,322.181,341.443,-19.262
0.1,0.085,321.62,341.396,-19.77600000000001
0.095,0.085,321.825,341.415,-19.590000000000032
0.1,0.09,321.309,341.37000000000006,-20.061000000000035
0.095,0.09,321.512,341.389,-19.87700000000001
0.1,0.095,321.04,341.347,-20.30699999999996
0.095,0.095,321.24,341.366,-20.125999999999976
0.1,0.1,320.916,341.335,-20.418999999999983
0.095,0.1,321.01,341.345,-20.335000000000036
0.09,0.005,333.597,342.121,-8.524000000000001
0.09,-5.2e-34,334.812,342.182,-7.3700000000000045
0.09,0.01,332.451,342.063,-9.611999999999966
0.09,0.015,331.371,342.006,-10.634999999999991
0.09,0.02,330.355,341.952,-11.59699999999998
0.09,0.025,329.4,341.9,-12.5
0.09,0.03,328.503,341.849,-13.346000000000004
0.09,0.035,327.663,341.801,-14.137999999999977
0.09,0.04,326.877,341.755,-14.877999999999986
0.09,0.045,326.143,341.711,-15.56800000000004
0.09,0.05,325.461,341.669,-16.20799999999997
0.09,0.055,324.829,341.629,-16.80000000000001
0.09,0.06,324.244,341.591,-17.34699999999998
0.09,0.065,323.707,341.555,-17.848000000000013
0.09,0.07,323.216,341.521,-18.305000000000007
0.09,0.075,322.77,341.49,-18.720000000000027
0.09,0.08,322.368,341.46,-19.091999999999985
0.09,0.085,322.01,341.432,-19.422000000000025
0.09,0.09,321.694,341.407,-19.712999999999965
0.09,0.095,321.42,341.383,-19.962999999999965
0.09,0.1,321.187,341.362,-20.17500000000001
0.085,0.005,333.83,342.137,-8.307000000000016
0.085,-4.9099999999999994e-34,335.046,342.19800000000004,-7.152000000000044
0.085,0.01,332.68,342.078,-9.397999999999968
0.085,0.015,331.596,342.022,-10.425999999999988
0.085,0.02,330.575,341.967,-11.391999999999996
0.085,0.025,329.614,341.915,-12.301000000000045
0.085,0.03,328.712,341.865,-13.15300000000002
0.085,0.035,327.866,341.816,-13.949999999999989
0.085,0.04,327.075,341.77,-14.694999999999993
0.085,0.045,326.336,341.726,-15.389999999999986
0.085,0.05,325.649,341.684,-16.035000000000025
