X,Y,Temperature_3D,Temperature_2D,Temp_Difference
0.075,0.015,332.246,342.047,-9.801000000000045
0.075,0.02,331.212,341.992,-10.78000000000003
0.075,0.025,330.238,341.94,-11.701999999999998
0.075,0.03,329.321,341.89,-12.56899999999996
0.075,0.035,328.461,341.841,-13.379999999999995
0.075,0.04,327.656,341.795,-14.13900000000001
0.075,0.045,326.903,341.751,-14.847999999999956
0.075,0.05,326.203,341.709,-15.506000000000029
0.075,0.055,325.553,341.669,-16.115999999999985
0.075,0.06,324.953,341.631,-16.677999999999997
0.075,0.065,324.401,341.595,-17.194000000000017
0.075,0.07,323.896,341.561,-17.664999999999964
0.075,0.075,323.437,341.53,-18.09299999999996
0.075,0.08,323.023,341.5,-18.476999999999975
0.075,0.085,322.654,341.472,-18.817999999999984
0.075,0.09,322.329,341.447,-19.117999999999995
0.075,0.095,322.047,341.423,-19.375999999999976
0.075,0.1,321.808,341.402,-19.593999999999994
0.07,0.005,334.631,342.171,-7.5400000000000205
0.07,-4.04e-34,335.85,342.232,-6.382000000000005
0.07,0.01,333.474,342.113,-8.63900000000001
0.07,0.015,332.378,342.056,-9.677999999999997
0.07,0.02,331.343,342.002,-10.658999999999992
0.07,0.025,330.366,341.949,-11.583000000000027
0.07,0.03,329.447,341.899,-12.451999999999998
0.07,0.035,328.583,341.851,-13.267999999999972
0.07,0.04,327.775,341.804,-14.028999999999996
0.07,0.045,327.02,341.76,-14.740000000000009
0.07,0.05,326.317,341.718,-15.40100000000001
0.07,0.055,325.665,341.678,-16.012999999999977
0.07,0.06,325.062,341.64,-16.577999999999975
0.07,0.065,324.507,341.604,-17.09699999999998
0.07,0.07,324.0,341.571,-17.571000000000026
0.07,0.075,323.54,341.539,-17.998999999999967
0.07,0.08,323.124,341.509,-18.38499999999999
0.07,0.085,322.754,341.482,-18.72800000000001
0.07,0.09,322.427,341.456,-19.028999999999996
0.07,0.095,322.144,341.432,-19.28800000000001
0.07,0.1,321.904,341.411,-19.507000000000005
0.065,0.005,334.736,342.178,-7.442000000000007
0.065,-3.76e-34,335.955,342.239,-6.283999999999992
0.065,0.01,333.578,342.12,-8.54200000000003
0.065,0.015,332.481,342.063,-9.581999999999994
0.065,0.02,331.444,342.009,-10.564999999999998
0.065,0.025,330.465,341.956,-11.491000000000042
0.065,0.03,329.544,341.906,-12.362000000000023
0.065,0.035,328.678,341.858,-13.180000000000007
0.065,0.04,327.868,341.812,-13.944000000000017
0.065,0.045,327.111,341.767,-14.656000000000006
0.065,0.05,326.406,341.725,-15.319000000000017
0.065,0.055,325.751,341.685,-15.934000000000026
0.065,0.06,325.147,341.647,-16.5
0.065,0.065,324.59,341.612,-17.022000000000048
0.065,0.07,324.082,341.578,-17.49599999999998
0.065,0.075,323.619,341.546,-17.926999999999964
0.065,0.08,323.203,341.516,-18.313000000000045
0.065,0.085,322.831,341.489,-18.65799999999996
0.065,0.09,322.504,341.463,-18.959000000000003
0.065,0.095,322.219,341.44,-19.221000000000004
0.065,0.1,321.978,341.41799999999995,-19.43999999999994
0.06,-3.47e-34,336.03,342.244,-6.2140000000000555
0.06,0.005,334.81,342.184,-7.374000000000024
0.06,0.01,333.652,342.125,-8.473000000000013
0.06,0.015,332.554,342.068,-9.51400000000001
0.06,0.02,331.516,342.014,-10.49799999999999
0.06,0.025,330.536,341.962,-11.425999999999988
0.06,0.03,329.613,341.911,-12.298000000000002
0.06,0.035,328.746,341.863,-13.117000000000019
0.06,0.04,327.934,341.817,-13.882999999999981
0.06,0.045,327.176,341.773,-14.597000000000037
0.06,0.05,326.469,341.731,-15.262
0.06,0.055,325.813,341.691,-15.877999999999986
0.06,0.06,325.207,341.653,-16.446000000000026
0.06,0.065,324.65,341.617,-16.96700000000004
0.06,0.07,324.14,341.583,-17.44300000000004
0.06,0.075,323.677,341.551,-17.873999999999967
0.06,0.08,323.259,341.521,-18.262
0.06,0.085,322.886,341.494,-18.608000000000004
0.06,0.09,322.558,341.468,-18.910000000000025
0.06,0.095,322.273,341.445,-19.17199999999997
0.06,0.1,322.032,341.423,-19.39100000000002
0.055,-3.18e-34,336.074,342.247,-6.173000000000002
0.055,0.005,334.855,342.187,-7.331999999999994
0.055,0.01,333.696,342.128,-8.43199999999996
0.055,0.015,332.598,342.072,-9.47399999999999
0.055,0.02,331.559,342.017,-10.45799999999997
0.055,0.025,330.578,341.965,-11.387
0.055,0.03,329.654,341.914,-12.259999999999991
0.055,0.035,328.787,341.866,-13.079000000000008
0.055,0.04,327.974,341.82,-13.846000000000004
0.055,0.045,327.214,341.776,-14.562000000000012
0.055,0.05,326.507,341.734,-15.226999999999975
0.055,0.055,325.851,341.694,-15.843000000000018
0.055,0.06,325.244,341.656,-16.411999999999978
0.055,0.065,324.685,341.62,-16.935000000000002
0.055,0.07,324.175,341.586,-17.411
0.055,0.075,323.711,341.554,-17.84299999999996
0.055,0.08,323.293,341.525,-18.23199999999997
0.055,0.085,322.92,341.497,-18.576999999999998
0.055,0.09,322.591,341.471,-18.879999999999995
0.055,0.095,322.306,341.448,-19.141999999999996
0.055,0.1,322.064,341.426,-19.361999999999966
0.05,-2.89e-34,336.089,342.249,-6.160000000000025
0.05,0.005,334.87,342.188,-7.317999999999984
0.05,0.01,333.711,342.129,-8.418000000000006
0.05,0.015,332.612,342.073,-9.460999999999956
0.05,0.02,331.573,342.018,-10.444999999999993
0.05,0.025,330.592,341.966,-11.374000000000024
0.05,0.03,329.668,341.915,-12.247000000000014
0.05,0.035,328.8,341.867,-13.067000000000007
0.05,0.04,327.987,341.821,-13.834000000000003
0.05,0.045,327.227,341.777,-14.550000000000011
0.05,0.05,326.52,341.735,-15.215000000000032
0.05,0.055,325.863,341.695,-15.831999999999994
0.05,0.06,325.256,341.657,-16.40100000000001
0.05,0.065,324.697,341.621,-16.923999999999978
0.05,0.07,324.187,341.587,-17.399999999999977
0.05,0.075,323.722,341.555,-17.833000000000027
0.05,0.08,323.304,341.526,-18.222000000000037
0.05,0.085,322.931,341.498,-18.567000000000007
0.05,0.09,322.602,341.472,-18.870000000000005
0.05,0.095,322.316,341.449,-19.133000000000038
0.05,0.1,322.074,341.427,-19.35300000000001
0.045,-2.6e-34,336.074,342.247,-6.173000000000002
0.045,0.005,334.855,342.187,-7.331999999999994
0.045,0.01,333.696,342.128,-8.43199999999996
0.045,0.015,332.598,342.072,-9.47399999999999
0.045,0.02,331.559,342.017,-10.45799999999997
0.045,0.025,330.578,341.965,-11.387
0.045,0.03,329.654,341.914,-12.259999999999991
0.045,0.035,328.787,341.866,-13.079000000000008
0.045,0.04,327.974,341.82,-13.846000000000004
0.045,0.045,327.214,341.776,-14.562000000000012
0.045,0.05,326.507,341.734,-15.226999999999975
0.045,0.055,325.851,341.694,-15.843000000000018
0.045,0.06,325.244,341.656,-16.411999999999978
0.045,0.065,324.685,341.62,-16.935000000000002
0.045,0.07,324.175,341.586,-17.411
0.045,0.075,323.711,341.554,-17.84299999999996
0.045,0.08,323.293,341.525,-18.23199999999997
0.045,0.085,322.92,341.497,-18.576999999999998
0.045,0.09,322.591,341.471,-18.879999999999995
0.045,0.095,322.306,341.448,-19.141999999999996
0.045,0.1,322.064,341.426,-19.361999999999966
0.04,-2.31e-34,336.03,342.244,-6.2140000000000555
0.04,0.005,334.81,342.184,-7.374000000000024
0.04,0.01,333.652,342.125,-8.473000000000013
0.04,0.015,332.554,342.068,-9.51400000000001
0.04,0.02,331.516,342.014,-10.49799999999999
0.04,0.025,330.536,341.962,-11.425999999999988
0.04,0.03,329.613,341.911,-12.298000000000002
0.04,0.035,328.746,341.863,-13.117000000000019
0.04,0.04,327.934,341.817,-13.882999999999981
0.04,0.045,327.176,341.773,-14.597000000000037
0.04,0.05,326.469,341.731,-15.262
0.04,0.055,325.813,341.691,-15.877999999999986
0.04,0.06,325.207,341.653,-16.446000000000026
0.04,0.065,324.65,341.617,-16.96700000000004
0.04,0.07,324.14,341.583,-17.44300000000004
0.04,0.075,323.677,341.551,-17.873999999999967
0.04,0.08,323.259,341.521,-18.262
0.04,0.085,322.886,341.494,-18.608000000000004
0.04,0.09,322.558,341.468,-18.910000000000025
0.04,0.095,322.273,341.445,-19.17199999999997
0.04,0.1,322.032,341.423,-19.39100000000002
0.035,-2.02e-34,335.955,342.239,-6.283999999999992
0.035,0.005,334.736,342.178,-7.442000000000007
0.035,0.01,333.578,342.12,-8.54200000000003
0.035,0.015,332.481,342.063,-9.581999999999994
0.035,0.02,331.444,342.009,-10.564999999999998
0.035,0.025,330.465,341.956,-11.491000000000042
0.035,0.03,329.544,341.906,-12.362000000000023
0.035,0.035,328.678,341.858,-13.180000000000007
0.035,0.04,327.868,341.812,-13.944000000000017
0.035,0.045,327.111,341.767,-14.656000000000006
0.035,0.05,326.406,341.725,-15.319000000000017
0.035,0.055,325.751,341.685,-15.934000000000026
0.035,0.06,325.147,341.647,-16.5
0.035,0.065,324.59,341.612,-17.022000000000048
0.035,0.07,324.082,341.578,-17.49599999999998
0.035,0.075,323.62,341.546,-17.925999999999988
0.035,0.08,323.203,341.516,-18.313000000000045
0.035,0.085,322.831,341.489,-18.65799999999996
0.035,0.09,322.504,341.463,-18.959000000000003
0.035,0.095,322.219,341.44,-19.221000000000004
0.035,0.1,321.978,341.41799999999995,-19.43999999999994
0.03,-1.7299999999999999e-34,335.85,342.232,-6.382000000000005
0.03,0.005,334.631,342.171,-7.5400000000000205
0.03,0.01,333.474,342.113,-8.63900000000001
0.03,0.015,332.378,342.056,-9.677999999999997
0.03,0.02,331.343,342.002,-10.658999999999992
0.03,0.025,330.366,341.949,-11.583000000000027
0.03,0.03,329.447,341.899,-12.451999999999998
0.03,0.035,328.583,341.851,-13.267999999999972
0.03,0.04,327.775,341.804,-14.028999999999996
0.03,0.045,327.02,341.76,-14.740000000000009
