X,Y,Temperature_3D,Temperature_2D,Temp_Difference
0.095,0.005,332.906,342.104,-9.197999999999979
0.095,-5.4899999999999995e-34,334.117,342.165,-8.048000000000002
0.1,-5.78e-34,333.577,342.135,-8.557999999999993
0.1,0.005,332.6,342.084,-9.48399999999998
0.1,0.01,331.474,342.026,-10.552000000000021
0.095,0.01,331.77,342.045,-10.275000000000034
0.1,0.015,330.417,341.969,-11.552000000000021
0.095,0.015,330.704,341.989,-11.284999999999968
0.1,0.02,329.425,341.915,-12.490000000000009
0.095,0.02,329.704,341.934,-12.230000000000018
0.1,0.025,328.495,341.862,-13.367000000000019
0.095,0.025,328.765,341.882,-13.117000000000019
0.1,0.03,327.623,341.81200000000007,-14.189000000000078
0.095,0.03,327.885,341.832,-13.947000000000003
0.1,0.035,326.806,341.76399999999995,-14.95799999999997
0.095,0.035,327.061,341.783,-14.722000000000037
0.1,0.04,326.043,341.718,-15.675000000000011
0.095,0.04,326.291,341.737,-15.446000000000026
0.1,0.045,325.332,341.674,-16.341999999999985
0.095,0.045,325.573,341.693,-16.120000000000005
0.1,0.05,324.67,341.632,-16.96199999999999
0.095,0.05,324.905,341.651,-16.746000000000038
0.1,0.055,324.057,341.5919999999999,-17.53499999999991
0.095,0.055,324.285,341.611,-17.325999999999965
0.1,0.06,323.49,341.5539999999999,-18.063999999999908
0.095,0.06,323.714,341.574,-17.860000000000014
0.1,0.065,322.969,341.518,-18.548999999999978
0.095,0.065,323.188,341.538,-18.350000000000023
0.1,0.07,322.493,341.484,-18.990999999999985
0.095,0.07,322.707,341.504,-18.797000000000025
0.1,0.075,322.061,341.453,-19.391999999999996
0.095,0.075,322.271,341.472,-19.200999999999965
0.1,0.08,321.672,341.423,-19.750999999999976
0.095,0.08,321.878,341.443,-19.564999999999998
0.1,0.085,321.324,341.396,-20.072000000000003
0.095,0.085,321.527,341.415,-19.888000000000034
0.1,0.09,321.018,341.37000000000006,-20.35200000000009
0.095,0.09,321.218,341.389,-20.170999999999992
0.1,0.095,320.752,341.347,-20.59499999999997
0.095,0.095,320.95,341.366,-20.415999999999997
0.1,0.1,320.63,341.335,-20.704999999999984
0.095,0.1,320.722,341.345,-20.623000000000047
0.09,0.005,333.172,342.121,-8.948999999999955
0.09,-5.2e-34,334.385,342.182,-7.7970000000000255
0.09,0.01,332.031,342.063,-10.031999999999982
0.09,0.015,330.959,342.006,-11.046999999999969
0.09,0.02,329.952,341.952,-12.0
0.09,0.025,329.006,341.9,-12.894000000000005
0.09,0.03,328.119,341.849,-13.729999999999961
0.09,0.035,327.289,341.801,-14.512
0.09,0.04,326.512,341.755,-15.242999999999995
0.09,0.045,325.788,341.711,-15.923000000000002
0.09,0.05,325.115,341.669,-16.553999999999974
0.09,0.055,324.49,341.629,-17.13900000000001
0.09,0.06,323.914,341.591,-17.67700000000002
0.09,0.065,323.384,341.555,-18.170999999999992
0.09,0.07,322.899,341.521,-18.622000000000014
0.09,0.075,322.459,341.49,-19.031000000000006
0.09,0.08,322.063,341.46,-19.39699999999999
0.09,0.085,321.709,341.432,-19.723000000000013
0.09,0.09,321.397,341.407,-20.00999999999999
0.09,0.095,321.127,341.383,-20.255999999999972
0.09,0.1,320.898,341.362,-20.464
0.085,0.005,333.401,342.137,-8.73599999999999
0.085,-4.9099999999999994e-34,334.616,342.19800000000004,-7.5820000000000505
0.085,0.01,332.257,342.078,-9.82099999999997
0.085,0.015,331.181,342.022,-10.841000000000008
0.085,0.02,330.168,341.967,-11.798999999999978
0.085,0.025,329.217,341.915,-12.698000000000036
0.085,0.03,328.325,341.865,-13.54000000000002
0.085,0.035,327.489,341.816,-14.326999999999998
0.085,0.04,326.707,341.77,-15.062999999999988
0.085,0.045,325.978,341.726,-15.74799999999999
0.085,0.05,325.3,341.684,-16.384000000000015
0.085,0.055,324.672,341.644,-16.97199999999998
0.085,0.06,324.091,341.606,-17.514999999999986
0.085,0.065,323.557,341.571,-18.01400000000001
0.085,0.07,323.069,341.537,-18.46799999999996
0.085,0.075,322.626,341.505,-18.87900000000002
0.085,0.08,322.226,341.475,-19.249000000000024
0.085,0.085,321.87,341.448,-19.577999999999975
0.085,0.09,321.556,341.422,-19.866000000000042
0.085,0.095,321.284,341.399,-20.11500000000001
0.085,0.1,321.053,341.377,-20.324000000000012
0.08,0.005,333.597,342.151,-8.55400000000003
0.08,-4.62e-34,334.812,342.211,-7.399000000000001
0.08,0.01,332.451,342.092,-9.640999999999963
0.08,0.015,331.371,342.035,-10.664000000000044
0.08,0.02,330.355,341.981,-11.625999999999976
0.08,0.025,329.4,341.928,-12.52800000000002
0.08,0.03,328.503,341.878,-13.375
0.08,0.035,327.663,341.83,-14.166999999999973
0.08,0.04,326.877,341.784,-14.906999999999982
0.08,0.045,326.143,341.74,-15.597000000000037
0.08,0.05,325.461,341.698,-16.236999999999966
0.08,0.055,324.829,341.658,-16.829000000000008
0.08,0.06,324.244,341.62,-17.375999999999976
0.08,0.065,323.707,341.584,-17.87700000000001
0.08,0.07,323.216,341.55,-18.334000000000003
0.08,0.075,322.77,341.518,-18.74799999999999
0.08,0.08,322.368,341.489,-19.12099999999998
0.08,0.085,322.01,341.461,-19.451000000000022
0.08,0.09,321.694,341.435,-19.740999999999985
0.08,0.095,321.42,341.412,-19.991999999999962
0.08,0.1,321.187,341.39000000000004,-20.20300000000003
0.075,0.005,333.761,342.162,-8.400999999999954
0.075,-4.329999999999999e-34,334.976,342.223,-7.247000000000014
0.075,0.01,332.613,342.103,-9.490000000000009
0.075,0.015,331.531,342.047,-10.51600000000002
0.075,0.02,330.512,341.992,-11.480000000000018
0.075,0.025,329.553,341.94,-12.387
0.075,0.03,328.653,341.89,-13.236999999999966
0.075,0.035,327.809,341.841,-14.031999999999982
0.075,0.04,327.02,341.795,-14.775000000000034
0.075,0.045,326.283,341.751,-15.467999999999961
0.075,0.05,325.597,341.709,-16.112000000000023
0.075,0.055,324.962,341.669,-16.706999999999994
0.075,0.06,324.375,341.631,-17.255999999999972
0.075,0.065,323.835,341.595,-17.760000000000048
0.075,0.07,323.341,341.561,-18.21999999999997
0.075,0.075,322.893,341.53,-18.637
0.075,0.08,322.489,341.5,-19.011000000000024
0.075,0.085,322.128,341.472,-19.343999999999994
0.075,0.09,321.81,341.447,-19.637
0.075,0.095,321.535,341.423,-19.887999999999977
0.075,0.1,321.301,341.402,-20.101
0.07,0.005,333.893,342.171,-8.27800000000002
0.07,-4.04e-34,335.109,342.232,-7.123000000000047
0.07,0.01,332.744,342.113,-9.368999999999971
0.07,0.015,331.66,342.056,-10.395999999999958
0.07,0.02,330.639,342.002,-11.363
0.07,0.025,329.678,341.949,-12.271000000000015
0.07,0.03,328.775,341.899,-13.124000000000024
0.07,0.035,327.928,341.851,-13.923000000000002
0.07,0.04,327.136,341.804,-14.66799999999995
0.07,0.045,326.397,341.76,-15.363
0.07,0.05,325.709,341.718,-16.009000000000015
0.07,0.055,325.071,341.678,-16.60699999999997
0.07,0.06,324.481,341.64,-17.158999999999992
0.07,0.065,323.939,341.604,-17.664999999999964
0.07,0.07,323.443,341.571,-18.128000000000043
0.07,0.075,322.993,341.539,-18.545999999999992
0.07,0.08,322.587,341.509,-18.922000000000025
0.07,0.085,322.225,341.482,-19.257000000000005
0.07,0.09,321.906,341.456,-19.55000000000001
0.07,0.095,321.63,341.432,-19.80200000000002
0.07,0.1,321.395,341.411,-20.01600000000002
0.065,0.005,333.995,342.178,-8.182999999999993
0.065,-3.76e-34,335.212,342.239,-7.026999999999987
0.065,0.01,332.846,342.12,-9.274000000000001
0.065,0.015,331.761,342.063,-10.301999999999964
0.065,0.02,330.738,342.009,-11.271000000000015
0.065,0.025,329.775,341.956,-12.18100000000004
0.065,0.03,328.87,341.906,-13.036000000000001
0.065,0.035,328.021,341.858,-13.836999999999989
0.065,0.04,327.227,341.812,-14.585000000000036
0.065,0.045,326.486,341.767,-15.281000000000006
0.065,0.05,325.795,341.725,-15.930000000000007
0.065,0.055,325.155,341.685,-16.53000000000003
0.065,0.06,324.564,341.647,-17.08299999999997
0.065,0.065,324.02,341.612,-17.59200000000004
0.065,0.07,323.523,341.578,-18.05499999999995
0.065,0.075,323.071,341.546,-18.474999999999966
0.065,0.08,322.664,341.516,-18.852000000000032
0.065,0.085,322.301,341.489,-19.187999999999988
0.065,0.09,321.981,341.463,-19.482000000000028
0.065,0.095,321.703,341.44,-19.737000000000023
0.065,0.1,321.468,341.41799999999995,-19.949999999999932
0.06,0.005,334.068,342.184,-8.116000000000042
0.06,-3.47e-34,335.284,342.244,-6.960000000000036
0.06,0.01,332.918,342.125,-9.206999999999994
0.06,0.015,331.832,342.068,-10.23599999999999
0.06,0.02,330.808,342.014,-11.206000000000017
0.06,0.025,329.844,341.962,-12.117999999999995
0.06,0.03,328.938,341.911,-12.973000000000013
0.06,0.035,328.088,341.863,-13.774999999999977
0.06,0.04,327.292,341.817,-14.525000000000034
0.06,0.045,326.549,341.773,-15.224000000000046
0.06,0.05,325.857,341.731,-15.873999999999967
0.06,0.055,325.216,341.691,-16.474999999999966
0.06,0.06,324.623,341.653,-17.03000000000003
0.06,0.065,324.078,341.617,-17.539000000000044
0.06,0.07,323.58,341.583,-18.003000000000043
0.06,0.075,323.127,341.551,-18.423999999999978
0.06,0.08,322.719,341.521,-18.80200000000002
0.06,0.085,322.355,341.494,-19.13900000000001
0.06,0.09,322.034,341.468,-19.434000000000026
0.06,0.095,321.756,341.445,-19.68900000000002
0.06,0.1,321.52,341.423,-19.90300000000002
0.055,0.005,334.111,342.187,-8.076000000000022
0.055,-3.18e-34,335.328,342.247,-6.91900000000004
0.055,0.01,332.961,342.128,-9.166999999999973
0.055,0.015,331.875,342.072,-10.197000000000003
0.055,0.02,330.85,342.017,-11.166999999999973
0.055,0.025,329.885,341.965,-12.079999999999984
0.055,0.03,328.978,341.914,-12.935999999999979
0.055,0.035,328.127,341.866,-13.738999999999976
0.055,0.04,327.331,341.82,-14.488999999999976
0.055,0.045,326.587,341.776,-15.189000000000021
0.055,0.05,325.895,341.734,-15.838999999999999
0.055,0.055,325.252,341.694,-16.442000000000007
0.055,0.06,324.659,341.656,-16.997000000000014
0.055,0.065,324.113,341.62,-17.507000000000005
0.055,0.07,323.614,341.586,-17.972000000000037
0.055,0.075,323.16,341.554,-18.39399999999995
0.055,0.08,322.752,341.525,-18.772999999999968
0.055,0.085,322.387,341.497,-19.110000000000014
0.055,0.09,322.066,341.471,-19.40500000000003
0.055,0.095,321.787,341.448,-19.661
0.055,0.1,321.551,341.426,-19.875
0.05,0.005,334.126,342.188,-8.062000000000012
0.05,-2.89e-34,335.342,342.249,-6.907000000000039
0.05,0.01,332.975,342.129,-9.153999999999996
0.05,0.015,331.889,342.073,-10.183999999999969
0.05,0.02,330.864,342.018,-11.153999999999996
0.05,0.025,329.899,341.966,-12.067000000000007
0.05,0.03,328.992,341.915,-12.923000000000002
0.05,0.035,328.14,341.867,-13.727000000000032
0.05,0.04,327.344,341.821,-14.477000000000032
0.05,0.045,326.599,341.777,-15.177999999999997
0.05,0.05,325.907,341.735,-15.828000000000031
0.05,0.055,325.264,341.695,-16.430999999999983
0.05,0.06,324.671,341.657,-16.98599999999999
0.05,0.065,324.125,341.621,-17.49599999999998
0.05,0.07,323.625,341.587,-17.96199999999999
0.05,0.075,323.172,341.555,-18.38299999999998
0.05,0.08,322.763,341.526,-18.763000000000034
0.05,0.085,322.398,341.498,-19.099999999999966
