X,Y,Temperature_3D,Temperature_2D,Temp_Difference
0.095,0.005,333.795,342.104,-8.308999999999969
0.095,-5.4899999999999995e-34,335.009,342.165,-7.156000000000006
0.1,-5.78e-34,334.464,342.135,-7.670999999999992
0.1,0.005,333.481,342.084,-8.603000000000009
0.1,0.01,332.345,342.026,-9.680999999999983
0.095,0.01,332.65,342.045,-9.395000000000039
0.1,0.015,331.275,341.969,-10.694000000000017
0.095,0.015,331.57,341.989,-10.418999999999983
0.1,0.02,330.267,341.915,-11.648000000000025
0.095,0.02,330.553,341.934,-11.381000000000029
0.1,0.025,329.318,341.862,-12.54400000000004
0.095,0.025,329.596,341.882,-12.286000000000001
0.1,0.03,328.427,341.81200000000007,-13.385000000000048
0.095,0.03,328.697,341.832,-13.134999999999991
0.1,0.035,327.591,341.76399999999995,-14.172999999999945
0.095,0.035,327.853,341.783,-13.930000000000007
0.1,0.04,326.809,341.718,-14.908999999999992
0.095,0.04,327.064,341.737,-14.673000000000002
0.1,0.045,326.079,341.674,-15.59499999999997
0.095,0.045,326.327,341.693,-15.365999999999985
0.1,0.05,325.4,341.632,-16.232000000000028
0.095,0.05,325.641,341.651,-16.00999999999999
0.095,0.055,325.005,341.611,-16.605999999999995
0.1,0.055,324.769,341.5919999999999,-16.822999999999922
0.1,0.06,324.187,341.5539999999999,-17.366999999999905
0.095,0.06,324.417,341.574,-17.15700000000004
0.1,0.065,323.652,341.518,-17.865999999999985
0.095,0.065,323.876,341.538,-17.662000000000035
0.1,0.07,323.162,341.484,-18.322000000000003
0.095,0.07,323.382,341.504,-18.122000000000014
0.1,0.075,322.717,341.453,-18.73599999999999
0.095,0.075,322.933,341.472,-18.538999999999987
0.1,0.08,322.316,341.423,-19.107000000000028
0.095,0.08,322.528,341.443,-18.914999999999964
0.1,0.085,321.959,341.396,-19.437000000000012
0.095,0.085,322.167,341.415,-19.248000000000047
0.1,0.09,321.643,341.37000000000006,-19.72700000000009
0.095,0.09,321.849,341.389,-19.54000000000002
0.1,0.095,321.37,341.347,-19.976999999999975
0.095,0.095,321.573,341.366,-19.793000000000006
0.1,0.1,321.244,341.335,-20.09099999999995
0.095,0.1,321.339,341.345,-20.00600000000003
