X,Y,Temperature
0.04,0.05,326.673
0.04,0.055,326.013
0.04,0.06,325.402
0.04,0.065,324.841
0.04,0.07,324.327
0.04,0.075,323.861
0.04,0.08,323.44
0.04,0.085,323.064
0.04,0.09,322.734
0.04,0.095,322.447
0.04,0.1,322.203
0.035,-2.02E-34,336.195
0.035,0.005,334.975
0.035,0.01,333.815
0.035,0.015,332.715
0.035,0.02,331.675
0.035,0.025,330.692
0.035,0.03,329.766
0.035,0.035,328.896
0.035,0.04,328.081
0.035,0.045,327.319
0.035,0.05,326.609
0.035,0.055,325.95
0.035,0.06,325.341
0.035,0.065,324.781
0.035,0.07,324.269
0.035,0.075,323.803
0.035,0.08,323.383
0.035,0.085,323.009
0.035,0.09,322.679
0.035,0.095,322.392
0.035,0.1,322.149
0.03,-1.73E-34,336.089
0.03,0.005,334.87
0.03,0.01,333.711
0.03,0.015,332.612
0.03,0.02,331.573
0.03,0.025,330.592
0.03,0.03,329.668
0.03,0.035,328.8
0.03,0.04,327.987
0.03,0.045,327.227
0.03,0.05,326.52
0.03,0.055,325.863
0.03,0.06,325.256
0.03,0.065,324.697
0.03,0.07,324.187
0.03,0.075,323.722
0.03,0.08,323.304
0.03,0.085,322.931
0.03,0.09,322.602
0.03,0.095,322.316
0.03,0.1,322.074
0.025,-1.44E-34,335.952
0.025,0.005,334.733
0.025,0.01,333.575
0.025,0.015,332.478
0.025,0.02,331.441
0.025,0.025,330.463
0.025,0.03,329.542
0.025,0.035,328.677
0.025,0.04,327.867
0.025,0.045,327.11
0.025,0.05,326.405
0.025,0.055,325.751
0.025,0.06,325.146
0.025,0.065,324.59
0.025,0.07,324.081
0.025,0.075,323.619
0.025,0.08,323.202
0.025,0.085,322.831
0.025,0.09,322.503
0.025,0.095,322.219
0.025,0.1,321.978
0.02,0.005,335.783
0.02,-1.16E-34,334.564
0.02,0.01,333.408
0.02,0.015,332.314
0.02,0.02,331.28
0.02,0.025,330.305
0.02,0.03,329.387
0.02,0.035,328.526
0.02,0.04,327.719
