0.18,339.826
0.19,339.82
0.19,339.818
0.18,339.82
0.18,339.826
0.19,339.824
0.18,339.821
0.19,339.823
0.17,339.826
0.17,339.831
0.17,339.831
0.17,339.827
0.16,339.832
0.16,339.835
0.16,339.836
0.16,339.832
0.15,339.834
0.15,339.838
0.15,339.839
0.15,339.835
0.14,339.838
0.14,339.842
0.14,339.843
0.14,339.841
0.13,339.848
0.13,339.847
0.13,339.847
0.13,339.847
0.12,339.852
0.12,339.851
0.12,339.85
0.12,339.85
0.11,339.85
0.11,339.852
0.11,339.852
0.11,339.85
0.1,339.848
0.1,339.852
0.1,339.852
0.1,339.849
0.09,339.846
0.09,339.851
0.09,339.852
0.09,339.851
0.08,339.842
0.08,339.849
0.08,339.85
0.08,339.851
0.07,339.84
0.07,339.847
0.07,339.847
0.07,339.849
0.06,339.839
0.06,339.843
0.06,339.844
0.06,339.844
0.05,339.836
0.05,339.839
0.05,339.84
0.05,339.839
0.04,339.833
0.04,339.835
0.04,339.836
0.04,339.835
0.03,339.828
0.03,339.832
0.03,339.833
0.03,339.831
0.02,339.824
0.02,339.828
0.02,339.829
0.02,339.828
0.01,339.818
0.01,339.824
0.01,339.824
0.01,339.823
7.49E-16,339.816
5.06E-16,339.819
2.53E-16,339.818
0,339.818
0.046,339.74
0.046,339.75
0.049,339.746
0.049,339.741
0.049,339.766
0.046,339.774
0.046,339.835
0.049,339.836
0.141,339.743
0.141,339.752
0.144,339.748
0.144,339.743
0.144,339.769
0.141,339.772
0.141,339.838
0.144,339.837
0.111895,300
0.116216,300
0.108251,300
0.109582,300
0.115758,300
0.112257,300
0.0236044,300
0.0260845,300
0.0290643,300
0.0269793,300
0.0318445,300
0.0330281,300
0.0310222,300
0.0207166,300
0.0202721,300
0.0290373,300
0.0337952,300
0.0323373,300
0.0202761,300
-0.104359,300
-0.106276,300
-0.106517,300
-0.100821,300
-0.0901095,300
-0.0871822,300
-0.0892425,300
-0.0887021,300
-0.100016,300
-0.0962609,300
-0.0849464,300
-0.0867359,300
-0.0934095,300
-0.114968,300
-0.1072,300
-0.112077,300
-0.0943257,300
-0.0898994,300
-0.108475,300
-0.100877,300
-0.0987087,300
-0.105779,300
-0.00932368,300.002
-0.00138147,300.006
-0.0115719,300.002
-0.00399837,300.007
-0.0114046,300.002
-0.116544,300
-0.128395,300
-0.113245,300
-0.118055,300
-0.112193,300
-0.0348455,300
-0.0237544,300
-0.0288898,300
-0.0352324,300
-0.0380654,300
0.23412,300
0.236235,300
0.230131,300
0.228585,300
0.234703,300
0.242448,300
0.244737,300
0.246325,300
0.242049,300
0.245098,300
0.243634,300
0.247859,300
0.232981,300
0.323335,300
0.308082,300
0.314423,300
0.297145,300
0.306331,300
0.297264,300
0.322856,300
0.298671,300
0.308712,300
0.29627,300
0.323785,300
0.32386,300
0.0779226,311.81
0.0777219,311.713
0.0783502,311.902
0.0757421,310.202
0.0835484,312.255
0.0783665,311.9
0.0926617,312.479
0.089368,312.279
0.0889332,312.28
0.0931345,312.609
